,coverageT1,coverageT2,coverageT3,coverageT4
0,89.04,89.39,88.68,88.71
1,89.32,89.64,88.76,88.7
2,89.14,89.24,88.35,88.02
3,89.53,89.81,88.75,88.88
4,88.99,89.91,88.81,88.68
5,89.16,88.98,88.21,87.56
6,89.3,89.59,88.72,88.92
7,89.45,89.61,88.65,88.36
8,89.5,90.11,89.11,88.43
9,89.37,89.8,88.9,88.2
10,89.83,90.08,88.98,88.5
11,89.55,89.51,88.8,88.43
12,89.25,89.49,88.63,88.27
13,89.37,89.89,88.88,88.64
14,89.39,89.22,88.47,88.13
15,89.19,89.82,88.64,88.43
16,89.0,89.47,88.41,88.49
17,89.15,89.61,88.86,88.61
18,89.35,89.13,88.24,87.77
19,89.69,89.8,89.04,88.78
20,89.51,89.73,88.76,88.25
21,89.84,89.7,88.95,88.53
22,89.39,89.5,88.84,88.24
23,89.41,89.72,88.86,88.67
24,89.59,89.73,89.0,88.61
25,89.75,89.71,88.63,88.35
26,89.33,89.52,88.66,88.29
27,89.2,89.74,88.75,88.44
28,89.45,89.73,88.62,88.32
29,89.28,90.01,88.89,88.77
30,88.96,89.56,88.47,88.24
31,89.98,90.27,89.29,88.74
32,89.54,89.76,88.85,88.52
33,90.16,90.64,89.47,88.77
34,88.92,89.04,88.01,87.76
35,89.35,89.48,88.57,88.63
36,89.75,89.79,89.03,88.74
37,89.51,89.45,88.52,88.48
38,89.35,89.47,88.42,88.21
39,89.21,89.37,88.56,88.24
40,88.96,89.15,88.23,88.43
41,89.09,89.36,88.43,88.13
42,89.13,89.52,88.8,88.64
43,89.55,89.62,88.9,88.38
44,89.58,89.7,89.04,88.8
45,89.01,89.26,88.44,88.06
46,89.67,90.02,89.19,88.75
47,88.96,89.19,88.24,88.2
48,89.52,89.96,89.23,88.93
49,89.71,89.58,88.44,88.33
50,89.47,89.74,88.53,88.09
51,89.77,89.76,89.02,88.48
